ORGANIZATION,CITY,STATE,AWARDS,FUNDING,YEAR
WINIFRED MASTERSON BURKE MED RES INST,WHITE PLAINS,NY,12,9067904,2017
"WINSANTOR, INC.",SAN DIEGO,CA,3,1735197,2017
WINSTON-SALEM STATE UNIVERSITY,WINSTON-SALEM,NC,3,787635,2017
WINTHROP-UNIVERSITY HOSPITAL,MINEOLA,NY,3,5000222,2017
"WISER SYSTEMS, LLC",CHARLOTTE,VT,1,223619,2017
WISTAR INSTITUTE,PHILADELPHIA,PA,60,41374439,2017
"WNTRIX, INC.",WOODLANDS,TX,1,225000,2017
WOMEN AND INFANTS HOSPITAL-RHODE ISLAND,PROVIDENCE,RI,16,11008149,2017
"WOODLAND PHARMACEUTICALS, LLC",SHREWSBURY,MA,1,299999,2017
"WOODS AND POOLE ECONOMICS, INC.",WASHINGTON,DC,1,16500,2017
WOODS HOLE OCEANOGRAPHIC INSTITUTION,WOODS HOLE,MA,1,361714,2017
WORCESTER POLYTECHNIC INSTITUTE,WORCESTER,MA,13,4107606,2017
WORLD MOLECULAR IMAGING SOCIETY,CULVER CITY,CA,1,15000,2017
WRIGHT STATE UNIVERSITY,DAYTON,OH,18,5221636,2017
"WYNNVISION, LLC",MIDLOTHIAN,VA,1,820970,2017
"W-Z BIOTECH, LLC",LEXINGTON,KY,1,542933,2017
XAVIER UNIVERSITY OF LOUISIANA,NEW ORLEANS,LA,8,7277528,2017
"XCELL SCIENCE, INC.",NOVATO,CA,1,715761,2017
"XEMED, LLC",DURHAM,NH,1,499977,2017
"XENOBIOTIC LABORATORIES, INC.",PLAINSBORO,NJ,1,278157,2017
"XENOTECH, LLC",LENEXA,KS,1,74732,2017
"XERIS PHARMACEUTICALS, INC.",AUSTIN,TX,3,1956915,2017
"XGENOMES, LLC",CAMBRIDGE,MA,1,225000,2017
"XONA MICROFLUIDICS, LLC",TEMECULA,CA,2,890157,2017
"XPLOSAFE, LLC",STILLWATER,OK,1,149999,2017
"XYKEN, LLC",Vienna,VA,3,919563,2017
YALE UNIVERSITY,NEW HAVEN,CT,955,425247606,2017
YASO THERAPEUTICS INC,PHOENIX,AZ,1,985250,2017
YESHIVA UNIVERSITY,NEW YORK,NY,1,501000,2017
YORK COLLEGE,JAMAICA,NY,4,596744,2017
YOUNGSTOWN STATE UNIVERSITY,YOUNGSTOWN,OH,1,288600,2017
"YOUV LABS, INC.",NEW YORK,NY,1,1494124,2017
"Z BIOTECH, LLC",AURORA,CO,1,154935,2017
"ZANSORS, LLC",MCLEAN,VA,2,913560,2017
"ZATA PHARMACEUTICALS, INC.",WORCESTER,MA,1,587932,2017
"ZEBRA MEDICAL TECHNOLOGIES, INC.",MENLO PARK,CA,1,297555,2017
"ZEN-BIO, INC.",RESEARCH TRIANGLE PARK,NC,2,944813,2017
"ZENFLOW, INC.",SOUTH SAN FRANCISCO,CA,1,636601,2017
"ZENOBIA THERAPEUTICS, INC",LA JOLLA,CA,1,50000,2017
"ZENOPHARM, LLC",NEW ORLEANS,LA,1,298524,2017
"ZETROZ SYSTEMS, LLC",TRUMBULL,CT,1,400000,2017
"ZIETCHICK RESEARCH INSTITUTE, LLC",PLYMOUTH,MI,1,224700,2017
"ZMK MEDICAL TECHNOLOGIES, D/B/A EIGEN",GRASS VALLEY,CA,1,491366,2017
ZYMERON CORPORATION,DURHAM,NC,1,222693,2017
ZYMO RESEARCH CORPORATION,IRVINE,CA,1,225000,2017
"21ST CENTURY MEDICINE, INC.",FONTANA,CA,2,392326,2018
"21ST CENTURY THERAPEUTICS, INC.",DETROIT,MI,1,345914,2018
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,5,2247103,2018
"3DT HOLDINGS, LLC",SAN DIEGO,CA,4,4149083,2018
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,1,1000000,2018
"3SCAN, INC.",SAN FRANCISCO,CA,1,240750,2018
"3T TECHNOLOGIES, LLC",MARIETTA,GA,1,149927,2018
"480 BIOMEDICAL, INC.",WATERTOWN,MA,1,925951,2018
"490 BIOTECH, INC.",KNOXVILLE,TN,3,1121651,2018
"7 HILLS PHARMA, LLC",HOUSTON,TX,1,999501,2018
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,3,2094089,2018
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,1,382343,2018
"A2 THERAPEUTICS, INC.",HOUSTON,TX,1,222472,2018
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,5,3216062,2018
"AAVOGEN, INC.",ROCKVILLE,MD,1,660235,2018
"ABCAM, INC.",CAMBRIDGE,MA,3,781408,2018
"ABCOMBI BIOSCIENCES, INC.",AMHERST,NY,1,300000,2018
"ABILITA BIO, INC.",SAN DIEGO,CA,1,311095,2018
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,1,17171,2018
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,3,1237112,2018
"ABTELUM BIOMEDICAL, INC.",WESTWOOD,MA,1,299979,2018
"ABVIRO, LLC",BETHESDA,MD,2,3878629,2018
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,2,470344,2018
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,1,145752,2018
ACADEMYHEALTH,WASHINGTON,DC,1,51283,2018
"ACCEL DIAGNOSTICS, LLC",Houston,TX,1,331659,2018
"ACCELERO BIOSTRUCTURES, INC.",SAN FRANCISCO,CA,1,993537,2018
"ACCELEVIR DIAGNOSTICS, LLC",BALTIMORE,MD,2,1300000,2018
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,1,221344,2018
"ACCESS SENSOR TECHNOLOGIES, LLC",FORT COLLINS,CO,1,500451,2018
"ACCUDAVA, INC.",LA JOLLA,CA,2,199785,2018
"ACEPRE, LLC",COLUMBIA,SC,1,261212,2018
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,2,1035677,2018
ACMA SOCIAL MARKETING,SANTA FE,NM,1,34313,2018
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,2,810366,2018
"ACTIV SURGICAL, INC",BOSTON,MA,2,242769,2018
"ACTIVAS DIAGNOSTICS, LLC",BANGOR,ME,1,500000,2018
"ACTIVATED RESEARCH COMPANY, LLC",EDEN PRAIRIE,MN,1,78518,2018
"ACTIVE MOTIF, INC.",CARLSBAD,CA,1,279395,2018
"ACTUALIZE THERAPY, LLC",CHICAGO,IL,1,686194,2018
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,5,1850547,2018
"ACUMEN PHARMACEUTICALS, INC.",LIVERMORE,CA,1,1256516,2018
"ACURASTEM, INC.",Monrovia,CA,1,433105,2018
"ADAMAS NANOTECHNOLOGIES, INC.",RALIEGH,NC,1,291083,2018
"ADAPTIVE TECHNOLOGY CONSULTING, LLC",MURFREESBORO,TN,1,224978,2018
"ADECTO PHARMACEUTICALS, INC.",BROOKLINE,MA,2,1003000,2018
"ADENOPAINT, LLC",ATLANTA,GA,1,567471,2018
"ADIENT MEDICAL, INC.",PEARLAND,TX,1,1242992,2018
"ADIPO THERAPEUTICS, LLC",WEST LAFAYETTE,IN,1,198323,2018
"ADJUVANCE TECHNOLOGIES, INC.",NEW YORK,NY,1,743432,2018
"ADM DIAGNOSTICS, INC.",NORTHBROOK,IL,2,432977,2018
"ADT PHARMACEUTICALS, LLC",ORANGE BEACH,AL,1,2000,2018
"ADVAC, LLC",LILBURN,GA,1,225000,2018
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,1,999998,2018
ADVANCED BIOMEDICAL INFORMATICS GROUP,IOWA CITY,IA,1,745706,2018
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,35,22882328,2018
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,3,1183690,2018
"ADVANCED CHEMOTHERAPY TECHNOLOGIES, INC.",RALEIGH,NC,1,1111364,2018
ADVANCED CYTOMETRY INSTRUMENTATION SYS,BUFFALO,NY,2,721909,2018
"ADVANCED MATERIALS TECHNOLOGY, INC.",WILMINGTON,DE,2,1335809,2018
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,5,2946832,2018
"ADVANCED REPRODUCTIVE TESTING, LLC",Detroit,MI,2,599961,2018
ADVANCED SCIENCE RESEARCH CENTER,NEW YORK,NY,6,2036856,2018
ADVANCED SMART SYSTEMS/EVALUATION TECHNO,COLUMBIA,SC,1,224706,2018
"ADVANCED TACTILE IMAGING, INC.",TRENTON,NJ,1,237959,2018
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,1,15000,2018
"ADVANTAGENE, INC",AUBURNDALE,MA,1,659516,2018
"ADVENT THERAPEUTICS, INC.",LUMBERVILLE,PA,1,225000,2018
"AEGISCN, LLC",DURHAM,NC,1,227501,2018
"AEIOU SCIENTIFIC, LLC",COLUMBUS,OH,1,477486,2018
"AEON IMAGING, LLC",BLOOMINGTON,IN,2,729248,2018
AERAS,ROCKVILLE,MD,2,354000,2018
"AEROBYX, LLC",LAWRENCE,KS,1,225001,2018
"AEROPHASE, INC.",LONGMONT,CO,1,150000,2018
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,1,450222,2018
"AETHLON MEDICAL, INC.",SAN DIEGO,CA,1,298444,2018
"AFASCI, INC.",REDWOOD CITY,CA,4,2843130,2018
"AFFINERGY, LLC",DURHAM,NC,9,3645701,2018
AFRICAN STRATEGIES /ADVANCING PATHOLOGY,DENVER,CO,1,38120,2018
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,1,39900,2018
"AGENEBIO, INC.",Baltimore,MD,2,5602738,2018
"AGEX THERAPEUTICS, INC.",ALAMEDA,CA,1,224973,2018
"AGGAMIN PHARMACEUTICALS, LLC",NEW YORK,NY,1,511969,2018
"AGILE DEVICES, INC.",Allston,MA,2,2052546,2018
"AGILE SCIENCES, INC.",RALEIGH,NC,1,499839,2018
"AGILVAX, INC.",ALBUQUERQUE,NM,1,298864,2018
"AI BIOSCIENCES, INC.",COLLEGE STATION,TX,1,672972,2018
"AI TRACKING SOLUTIONS, LLC",CARRBORO,NC,1,224894,2018
"AIMRNA, INC.",Granite Bay,CA,1,224158,2018
"AKONNI BIOSYSTEMS, INC.",FREDERICK,MD,1,1000000,2018
"AKOYA BIOSCIENCES, INC.",SAN FRANCISCO,CA,1,149552,2018
AKSTON BIOSCIENCES CORPORATION,BEVERLY,MA,1,998998,2018
"ALA SCIENTIFIC INSTRUMENTS, INC.",FARMINGDALE,NY,1,742748,2018
ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,DOTHAN,AL,1,277277,2018
ALABAMA FIRE COLLEGE,TUSCALOOSA,AL,1,671468,2018
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,2,759878,2018
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,1,552266,2018
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,3,1475486,2018
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,4,1592114,2018
ALBANY MEDICAL COLLEGE,ALBANY,NY,26,9105571,2018
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,6,1293460,2018
"ALBA-TECHNIC, LLC",WINTHROP,ME,1,224682,2018
"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",BRONX,NY,360,172503399,2018
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,7,1993711,2018
ALBUQUERQUE AREA INDIAN HEALTH BOARD,ALBUQUERQUE,NM,1,160680,2018
"ALCAMENA STEM CELL THERAPEUTICS, LLC",Baltimore,MD,1,237804,2018
ALCHEM LABORATORIES CORPORATION,ALACHUA,FL,4,1317496,2018
"ALDATU BIOSCIENCES, INC.",Boston,MA,2,3954067,2018
"ALDENEX VISION, LLC",LANCASTER,NY,1,887703,2018
"ALERE WELLBEING, INC.",SEATTLE,WA,1,197027,2018
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,7,4211959,2018
"ALGOMETRX, INC.",WASHINGTON,DC,1,224173,2018
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,1,194050,2018
"ALLANDER BIOTECHNOLOGIES, LLC",AURORA,CO,2,1498912,2018
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,2,1064891,2018
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,1,225001,2018
ALLEN INSTITUTE,SEATTLE,WA,7,23086921,2018
ALLEN/LOEB ASSOCIATES,SAN FRANCISCO,CA,1,596291,2018
"ALLEVIANT MEDICAL, INC.",HOUSTON,TX,1,313587,2018
"ALLIANCE DISCOVERY, INC.",DOYLESTOWN,PA,1,789107,2018
ALLINA HEALTH SYSTEM,MINNEAPOLIS,MN,1,731114,2018
"ALLINAIRE THERAPEUTICS, LLC",CLEVELAND,OH,2,1239931,2018
"ALLVIVO VASCULAR, INC.",LAKE FOREST,CA,1,258580,2018
"ALPHA GENESIS, INC.",YEMASSEE,SC,3,3027020,2018
"ALPHATHERA, INC.",BRYN MAWR,PA,1,764390,2018
"ALTEC, INC.",NATICK,MA,3,1527237,2018
"ALTIS BIOSYSTEMS, LLC",CHAPEL HILL,NC,1,224898,2018
ALTIUS INSTITUTE FOR BIOMEDICAL SCIENCES,SEATTLE,WA,3,5447658,2018
ALTOR BIOSCIENCE. LLC,MIRAMAR,FL,1,999919,2018
"ALZECA BIOSCIENCES, INC.",HOUSTON,TX,1,683437,2018
"AM BIOTECHNOLOGIES, LLC",HOUSTON,TX,1,185564,2018
"AMBERGEN, INC",WATERTOWN,MA,3,1991487,2018
"AMEBAGONE, INC.",MADISON,WI,2,1253717,2018
"AMELIA TECHNOLOGIES, LLC",ROCKVILLE,MD,2,1506891,2018
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,EAST PROVIDENCE,RI,1,24990,2018
"AMERICAN ACADEMY OF AUDIOLOGY, INC.",RESTON,VA,1,38176,2018
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,1,15000,2018
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,1,1328986,2018
"AMERICAN AGING ASSOCIATION, INC.",Grandville,MI,1,44170,2018
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,6,946263,2018
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,2,70000,2018
"AMERICAN ASSOCIATION OF NEUROPATHOLOGISTS, INC.",LITTLETON,CO,1,22300,2018
"AMERICAN BIOOPTICS, LLC",CHICAGO,IL,2,128060,2018
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,1,281062,2018
AMERICAN COCHLEAR IMPLANT ALLIANCE FDN,MC LEAN,VA,1,40000,2018
AMERICAN COLLEGE OF CARDIOLOGY,WASHINGTON,DC,1,50000,2018
AMERICAN COLLEGE OF MEDICAL GENETICS,BETHESDA,MD,1,2499583,2018
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,2,8621199,2018
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,2,60000,2018
AMERICAN COLLEGE OF SURGEONS,CHICAGO,IL,2,893486,2018
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,1,333309,2018
AMERICAN EPILEPSY SOCIETY,CHICAGO,IL,1,10000,2018
AMERICAN FEDERATION FOR AGING RESEARCH,NEW YORK,NY,3,779398,2018
AMERICAN GASTROENTEROLOGICAL ASSN/INST,BETHESDA,MD,2,1087009,2018
AMERICAN GERIATRICS SOCIETY,NEW YORK,NY,2,109905,2018
AMERICAN HEART ASSOCIATION,Dallas,TX,1,3423808,2018
AMERICAN LIFE SCIENCE PHARMACEUTICALS,LA JOLLA,CA,1,532178,2018
AMERICAN MEDICAL INFORMATICS ASSN,BETHESDA,MD,1,20000,2018
AMERICAN MUSEUM OF NATURAL HISTORY,NEW YORK,NY,1,182114,2018
AMERICAN PAIN SOCIETY,GLENVIEW,IL,1,45000,2018
AMERICAN PHYSICIANS SCIENTISTS ASSN,Chelmsford,MA,1,24000,2018
AMERICAN PHYSIOLOGICAL SOCIETY,ROCKVILLE,MD,2,257589,2018
AMERICAN PSYCHIATRIC ASSOC FOUNDATION,washington,DC,1,25000,2018
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,1,122803,2018
AMERICAN PSYCHOSOMATIC SOCIETY (APS),MC LEAN,VA,1,35000,2018
AMERICAN PUBLIC HEALTH ASSOCIATION,WASHINGTON,DC,1,8000,2018
AMERICAN SAMOA COMMUNITY CANCER COALITIO,PAGO PAGO,AS,2,382271,2018
AMERICAN SOCIETY FOR BONE & MINERAL RES,WASHINGTON,DC,1,40000,2018
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,1,685223,2018
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,4,1976641,2018
AMERICAN SOCIETY FOR NEUROCHEMISTRY,WINDERMERE,FL,1,25000,2018
AMERICAN SOCIETY OF ADDICTION MEDICINE,ROCKVILLE,MD,2,55000,2018
AMERICAN SOCIETY OF ANDROLOGY,SCHAUMBURG,IL,1,12000,2018
AMERICAN SOCIETY OF GENE & CELL THERAPY,MILWAUKEE,WI,1,15000,2018
AMERICAN SOCIETY OF HEMATOLOGY,WASHINGTON,DC,1,306150,2018
AMERICAN SOCIETY/INVESTIGATIVE PATHOLOGY,ROCKVILLE,MD,1,15000,2018
AMERICAN SOCIETY/PARENT & ENTERAL NUTRIT,SILVER SPRING,MD,1,6000,2018
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,2,77500,2018
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,9,16226097,2018
AMERICAN UNIVERSITY,WASHINGTON,DC,8,2704580,2018
AMERICAN UROLOGICAL ASSOCIATION,LINTHICUM,MD,2,18000,2018
"AMERICARES FOUNDATION, INC.",STAMFORD,CT,1,49900,2018
"AMIDEBIO, LLC",BOULDER,CO,1,207286,2018
"AMPLYX PHARMACEUTICALS, INC.",SAN DIEGO,CA,1,725501,2018
"AMPRION, INC.",San Francisco,CA,1,217647,2018
"AMYDIS DIAGNOSTICS, INC.",BEVERLY HILLS,CA,1,408225,2018
ANAGIN,INDIANAPOLIS,IN,2,3117958,2018
"ANALYTICAL DIAGNOSTIC SOLUTIONS, INC.",MOUNT LAUREL,NJ,2,449400,2018
"ANATOMYWORKS, LLC",BALTIMORE,MD,1,511211,2018
"ANCURE, LLC",PITTSBURGH,PA,1,225000,2018
"ANDAMIO GAMES, LLC",MINNEAPOLIS,MN,1,150000,2018
"ANTAGEN PHARMACEUTICALS, INC.",BOSTON,MA,1,599997,2018
"ANTHROBIO, INC.",SAINT LOUIS,MO,1,254235,2018
"APDM, INC.",PORTLAND,OR,2,1636657,2018
"APEX BIOMEDICAL COMPANY, LLC",PORTLAND,OR,1,455127,2018
APHIOS CORPORATION,WOBURN,MA,1,599617,2018
APPALACHIAN STATE UNIVERSITY,BOONE,NC,1,65663,2018
"APPLIED BIOMATH, LLC",LINCOLN,MA,1,744248,2018
APPLIED SCIENTIFIC RESEARCH,IRVINE,CA,1,444047,2018
"APPLIED SEPARATIONS, INC.",ALLENTOWN,PA,1,422235,2018
"APPLIED STEMCELL, INC.",Milpitas,CA,1,641298,2018
APPLIED UNIVERSAL DYNAMICS CORPORATION,LORETTO,MN,1,347146,2018
"APPLIKATE TECHNOLOGIES, LLC",WESTON,CT,1,692728,2018
"APT THERAPEUTICS, INC.",SAINT LOUIS,MO,5,2077576,2018
"APTITUDE MEDICAL SYSTEMS, INC.",SANTA BARBARA,CA,6,2599287,2018
"AQD LIFE SCIENCES, LLC",BRYNMAWR,PA,1,300000,2018
"AQUINNAH PHARMACEUTICALS, INC.",NEWTON,MA,2,1303425,2018
ARADIGM CORPORATION,HAYWARD,CA,1,486050,2018
"ARBOR MEDICAL INNOVATIONS, LLC",YPSILANTI,MI,1,220420,2018
ARBOR RESEARCH COLLABORATIVE FOR HEALTH,ANN ARBOR,MI,1,135000,2018
"ARBORSENSE, INC.",ANN ARBOR,MI,1,771022,2018
"ARC BIO, LLC",CAMBRIDGE,MA,2,1246774,2018
"ARCASCOPE, LLC",CHANTILLY,VA,1,221237,2018
"ARCATO LABORATORIES, INC.",GREENSBORO,NC,1,145566,2018
"ARCH INNOTEK, LLC",SAINT LOUIS,MO,1,226729,2018
"ARCHER PHARMACEUTICALS, INC.",SARASOTA,FL,1,224920,2018
ARIETIS,Boston,MA,1,1248159,2018
"ARIMA GENOMICS, INC.",SAN DIEGO,CA,2,2501294,2018
"ARISAN THERAPEUTICS, INC.",SAN DIEGO,CA,1,350000,2018
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,TEMPE,AZ,150,59948614,2018
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,9,6132044,2018
ARKANSAS COLLEGES OF HEALTH EDUCATION,FORT SMITH,AR,1,323628,2018
"ARONORA, INC.",PORTLAND,OR,3,2961876,2018
"ARREVUS, INC.",RESEARCH TRIANGLE PARK,NC,3,892626,2018
"ARSENAL MEDICAL, INC.",WATERTOWN,MA,1,762094,2018
"ARSERVICES, LTD",LORTON,VA,1,630000,2018
"ASCENT BIO-NANO TECHNOLOGIES, INC.",RESEARCH TRIANGLE PARK,NC,4,1711503,2018
"ASCLEPIX THERAPEUTICS, LLC",LUTHERVILLE,MD,3,1231282,2018
"ASDDR, LLC",Amherst,NY,1,382982,2018
"ASH STEVENS, INC.",RIVERVIEW,MI,1,794164,2018
ASIAN HEALTH COALITION OF ILLINOIS,CHICAGO,IL,1,444618,2018
ASPIREBIO CORPORATION,BOULDER,CO,1,225000,2018
"ASSISTECH SYSTEMS, LLC",EUGENE,OR,1,239232,2018
ASSN/MEDICAL EDUC & RES IN SUBS ABUSE,CRANSTON,RI,1,24750,2018
ASSOCIATION FOR CHEMORECEPTION SCIENCES,Glenview,IL,1,40000,2018
ASSOCIATION FOR RES IN VISION & OPHTHAL,ROCKVILLE,MD,1,72100,2018
"ASTER LABS, INC.",SHOREVIEW,MN,1,625359,2018
"ASTERO TECHNOLOGIES, LLC",COLLEGE STATION,TX,1,486798,2018
"ASTRAEA THERAPEUTICS, LLC",MOUNTAIN VIEW,CA,1,1141152,2018
ASTRIX TECHNOLOGY GROUP,RED BANK,NJ,1,149951,2018
"ASTROCTYE PHARMACEUTICALS, INC.",CAMBRIDGE,MA,2,1688816,2018
"ASURAGEN, INC.",AUSTIN,TX,3,674976,2018
ATANTARES CORPORATION,Arlington,MA,1,150000,2018
"ATGC, INC.",YPSILANTI,MI,1,749563,2018
"ATLANTIC HEALTH SYSTEM, INC.",MORRISTOWN,NJ,1,50000,2018
"ATRAPOS THERAPEUTICS, LLC",HOUSTON,TX,1,1000000,2018
"ATROPOS THERAPEUTICS, INC.",Belmont,CA,1,339657,2018
"ATTAGENE, INC.",RESEARCH TRIANGLE PARK,NC,2,1266647,2018
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,AL,16,4899982,2018
AUGUSTA UNIVERSITY,AUGUSTA,GA,104,46748465,2018
"AURITEC PHARMACEUTICALS, INC.",PASADENA,CA,2,659446,2018
"AURORA HEALTH CARE, INC.",MILWAUKEE,WI,1,1188290,2018
"AURORA ONCOLOGY, INC.",GOLDEN,CO,1,299937,2018
"AUTOIMMUNE TECHNOLOGIES, LLC",NEW ORLEANS,LA,1,224645,2018
"AUTOMATE SCIENTIFIC, INC.",BERKELEY,CA,1,150000,2018
"AUTONOMOUS HEALTHCARE, INC.",HOBOKEN,NJ,1,224908,2018
"AVANTGEN, INC.",SAN DIEGO,CA,1,299854,2018
"AVANTI BIOSCIENCES, INC.",EAST SETAUKET,NY,1,298999,2018
"AVATAR MEDICAL, LLC",BROOKLYN,NY,1,986704,2018
"AVENTUSOFT, LLC",BOCA RATON,FL,1,400000,2018
AVERA MCKENNAN,SIOUX FALLS,SD,2,3714210,2018
AVIDBIOTICS CORPORATION,SOUTH SAN FRANCISCO,CA,1,524255,2018
"AVONEAUX MEDICAL INSTITUTE, LLC",EASTON,MD,1,148360,2018
"AXION BIOSYSTEMS, LLC",ATLANTA,GA,1,810116,2018
"AXONOVA MEDICAL, LLC",PHILADELPHIA,PA,1,224562,2018
"AXOSIM, INC.",NEW ORLEANS,LA,4,1317412,2018
"AZEVAN PHARMACEUTICALS, INC.",BETHLEHEM,PA,1,764163,2018
"AZITRA, INC.",Farmington,CT,1,225000,2018
"BACKYARD BRAINS, INC.",ANN ARBOR,MI,2,1178346,2018
"BACTERIOSCAN, INC.",SAINT LOUIS,MO,1,210937,2018
"BAEBIES, INC.",DURHAM,NC,11,5261691,2018
BALL STATE UNIVERSITY,MUNCIE,IN,2,503519,2018
BANNER ALZHEIMER'S INSTITUTE,PHOENIX,AZ,1,2054622,2018
BANNER HEALTH,PHOENIX,AZ,3,7882200,2018
BAPTIST MEMORIAL HOSPITAL - TIPTON,COVINGTON,TN,2,1097101,2018
BARNARD COLLEGE,NEW YORK,NY,5,1553598,2018
"BARRETT TECHNOLOGY, LLC",NEWTON,MA,1,223752,2018
"BARRON ASSOCIATES, INC.",CHARLOTTESVILLE,VA,9,4328337,2018
BARTH SYNDROME FOUNDATION,LARCHMONT,NY,1,25000,2018
BARUCH S. BLUMBERG INSTITUTE,DOYLESTOWN,PA,4,2086791,2018
"BASE PAIR BIOTECHNOLOGIES, INC.",PEARLAND,TX,1,300000,2018
"BASE2 GENOMICS, LLC",SALT LAKE CITY,UT,1,299281,2018
"BATANDCAT, INC.",PALO ALTO,CA,1,525765,2018
BATTELLE CENTERS/PUB HLTH RES & EVALUATN,COLUMBUS,OH,26,21448553,2018
BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,31,13488230,2018
BATTELLE PACIFIC NORTHWEST LABORATORIES,RICHLAND,WA,16,11459035,2018
BAY AREA TUMOR INSTITUTE,OAKLAND,CA,1,826500,2018
"BAYESIC TECHNOLOGIES, LLC",OKLAHOMA CITY,OK,1,228095,2018
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,523,255142147,2018
BAYLOR RESEARCH INSTITUTE,DALLAS,TX,13,5162536,2018
BAYLOR UNIVERSITY,WACO,TX,6,2049545,2018
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,11,4085495,2018
"BBC ENTREPRENUERIAL TRAINING AND CONSULTING, LLC",Chelsea,MI,1,494235,2018
"BCELL SOLUTIONS, INC.",COLORADO SPRINGS,CO,1,292177,2018
"BDI, INC.",MANHATTAN BEACH,CA,1,472431,2018
"BEAM DIAGNOSTICS, INC.",ROANOKE,VA,1,285003,2018
BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,DUARTE,CA,118,59929674,2018
"BECTON, DICKINSON AND COMPANY",FRANKLIN LAKES,NJ,1,344918,2018
"BEHAIVIOR, LLC",PITTSBURGH,PA,1,223791,2018
"BEHAVIORAL DIAGNOSTICS, INC.",IOWA CITY,IA,1,223260,2018
"BEHAVIORAL SCIENCE TECHNOLOGIES, LLC",ATLANTA,GA,1,334676,2018
"BEHAVIORCLOUD, LLC",COLUMBUS,OH,1,220420,2018
"BELLBROOK LABS, LLC",MADISON,WI,1,591712,2018
BENAROYA RESEARCH INST AT VIRGINIA MASON,SEATTLE,WA,22,42025312,2018
"BERKELEY MADONNA, INC.",BERKELEY,CA,1,159600,2018
BERTEC CORPORATION,COLUMBUS,OH,1,275801,2018
"BESSOR PHARMA, LLC",FRAMINGHAM,MA,1,299996,2018
"BETA BIONICS, INC.",BOSTON,MA,1,424973,2018
